Vehicle ID,Repair Date,Repair Description,Cost,Parts Replaced,Repair Shop,Mechanic,Warranty Expiry
5e1a82b9-1944-4a6e-a6fa-1d5735e33b69,2025-01-22,Suspension Repair,921.6,Shock Absorbers,Rosales-Gordon,Julia Valdez,2025-06-03
111cd5ea-59ec-41b1-865a-624cfc8bc96b,2025-06-13,Suspension Repair,1514.46,Alternator,"Barnes, Williams and Martin",Nathaniel Baker,2025-01-16
733e6d03-8188-4fe8-a11b-9e410af5b289,2025-04-19,Tire Replacement,678.17,Alternator,Wright Group,Kim Parker,2025-03-01
2d236e34-97c5-420d-afe3-d88e19f8ee14,2025-06-12,Transmission Repair,4389.14,Exhaust System,Gutierrez Inc,Steven White,2025-01-03
16393cad-caad-4780-a6e1-0a623d7f6783,2025-05-13,Transmission Repair,3437.33,Exhaust System,Anderson Ltd,Ashley Davis,2025-02-24
06210b6d-8c55-42e0-b453-dd24fa3d9587,2025-04-17,AC Repair,1332.33,Radiator,Harris-Hart,Dorothy Mitchell,2025-02-07
67dc99de-b164-4bf0-bcf4-6b5522a9e9bd,2025-04-01,Engine Repair,142.4,Exhaust System,Underwood-Anderson,Amber Moore,2025-03-01
ce5fd497-c133-497a-8853-542cde25f2a0,2025-03-27,Clutch Replacement,1276.92,Timing Belt,"Johnson, Nelson and Johnson",Brian Baker,2025-06-23
e49e55e5-f95a-413a-a622-7f7ed083d8f8,2025-05-22,AC Repair,4016.97,Radiator,Moore and Sons,Miguel Morris,2025-04-20
48d9a7b0-47ea-4668-ac41-bd15ab794e3d,2025-06-14,Brake Service,2909.8,Timing Belt,"Glover, Ross and Mack",Jorge Valdez,2025-05-21
f1bf893f-cadd-4b08-921c-8a768061000d,2025-04-05,Brake Service,2366.49,Shock Absorbers,"Goodwin, Ortega and Davis",Anthony Nolan,2025-01-29
feba7748-6695-4ef2-a904-00ddd4dc236a,2025-02-25,Brake Service,4638.8,Radiator,"Gibson, Maynard and Ellis",Anthony Russell,2025-04-08
29ffdd09-05ca-476f-bb9c-0cb982f19887,2025-01-26,Battery Replacement,312.58,Alternator,Boyer Inc,William Navarro,2025-02-17
c0966fef-cb0b-4086-89dc-8f6308be1ea3,2025-04-06,Tire Replacement,2275.72,Radiator,Macias-Spears,Kathleen Beck,2025-02-04
57d06a25-81df-4c83-bf65-378f2662afb5,2025-04-09,Tire Replacement,3768.34,Alternator,"Scott, Jones and Jones",Gregory Cook,2025-06-16
dcb9733c-f3d2-407d-ba07-6fabba4eb148,2025-06-11,Suspension Repair,3183.03,Shock Absorbers,Robbins and Sons,Marie West,2025-04-13
cb4296d8-cb39-42f6-885a-4974c478a50f,2025-06-19,AC Repair,516.7,Brake Pads,Conway PLC,Sheena Beard,2025-01-07
16fd7183-7c62-4832-9677-4838b4ed66f2,2025-07-07,Suspension Repair,2608.03,Timing Belt,Holloway-Turner,Charles Green,2025-01-07
97b3f194-e91b-449f-b1c2-50baeaaff973,2025-05-01,Battery Replacement,3879.12,Exhaust System,Thompson Ltd,Mark Perry,2025-03-07
fb88d420-a5fd-4dcb-804e-333c12367f87,2025-06-13,Brake Service,3426.11,Timing Belt,Schmidt-Wells,Curtis Smith,2025-01-09
112d760b-1af6-4dd4-acc8-dc1d0933fdc8,2025-05-30,Engine Repair,462.63,Shock Absorbers,"Davis, Mccoy and Wright",Regina King,2025-01-10
4dd80404-f0c2-4e63-8265-d66bae5f00bc,2025-06-14,Brake Service,3755.26,Shock Absorbers,Miller-Sanchez,William Murphy,2025-03-04
caeceeae-d22e-42ed-a76c-6e6c1f7d2134,2025-01-18,Suspension Repair,2474.8,Brake Pads,James-Garza,Steve Mcdaniel,2025-06-16
425e9c8d-9749-4ef4-8199-c368c65fd7d1,2025-05-30,Fuel System Repair,827.98,Exhaust System,"Hull, Rasmussen and Smith",James Jordan,2025-07-10
305fc95f-98c0-4980-b463-a45ae41bb3ea,2025-05-28,Suspension Repair,4231.26,Exhaust System,"Brown, Rodriguez and Rivera",Corey Smith,2025-06-08
f17fdcb7-f0d9-4c78-aa14-fb0df3a87153,2025-06-10,Brake Service,3146.23,Brake Pads,Harrison Ltd,Franklin Ford,2025-04-18
